"region","name","label","calc","calc_lower","calc_upper"
"indo-pacific","CRED-Platygyra spp","PLSP",16.59,14.87,18.44
"indo-pacific","CRED-Plerogyra spp","PLER",7.78,7.25,8.29
"indo-pacific","CRED-Pocillopora spp","POCS",17.51,12.74,22.8
"indo-pacific","CRED-Porites spp_branching","POBR",10.54,7.56,13.66
"indo-pacific","CRED-Porites spp_encrusting","POEN",5.81,4.89,6.96
"indo-pacific","CRED-Porites spp_foliose","POFO",4.56,4.12,5.01
"indo-pacific","CRED-Porites spp_massive","POMA",23.61,21.19,26.13
"indo-pacific","CRED-Psammocora spp","PSSP",8.6,6.95,10.75
"indo-pacific","CRED-Rubble substrate","RUB",0,0,0
"indo-pacific","CRED-Stylophora spp","STYS",10.78,7.75,13.97
"indo-pacific","CRED-Symphyllia spp","SYSP",29.99,27,32.93
"indo-pacific","CRED-Turbinaria spp","TURS",7.49,6.57,8.6
"indo-pacific","CRED-Turf growing on hard substrate","TURFH",0,0,0
"indo-pacific","CRED-Turf growing on rubble","TURFR",0,0,0
"indo-pacific","Cyphastrea","CYPS",1.96,1.65,2.33
"indo-pacific","Diploastrea","DISP",11.06,9.54,12.74
"indo-pacific","Dipsastraea","FASP",0.99,0.83,1.21
"indo-pacific","Echinophyllia","ECHL",5.61,4.91,6.35
"indo-pacific","Echinopora","ECHP",3.64,3.15,4.19
"indo-pacific","Euphyllia","EUSP",11.29,10.32,12.3
"indo-pacific","Favites","FAVS",0.89,0.76,1.03
"indo-pacific","Fungia","FUSP",29.45,26.54,32.59
"indo-pacific","Galaxea","GASP",4.47,3.92,5.08
"indo-pacific","Goniastrea","GONS",13.5,12.04,15.05
"indo-pacific","Hard Coral (branching)","BR",12.08,8.73,15.66
"indo-pacific","Hard Coral (columnar)","COL",7.59,6.83,8.37
"indo-pacific","Hard Coral (encrusting)","ENC",4.45,3.62,5.56
"indo-pacific","Hard Coral (foliose)","FOL",7.57,6.65,8.6
"indo-pacific","Hard Coral (free-living)","FREE",39.14,35.23,43.29
"indo-pacific","Hard Coral (massive)","MASS",22.5,19.9,25.38
"indo-pacific","Hard Substrate","HARD",0,0,0
"indo-pacific","Heliopora","HCOE",7.82,5.62,10.03
"indo-pacific","Hydnophora","HYSP",19.76,17.88,21.71
"indo-pacific","Isopora","ISSP",3.62,3.17,4.11
"indo-pacific","Leptastrea","LEPT",5.61,4.09,7.81
"indo-pacific","Leptoria","LPHY",3.56,2.97,4.24
"indo-pacific","Leptoseris","LESP",4.51,3.89,5.18
"indo-pacific","Lobophyllia","LOBS",10.51,9.5,11.52
"indo-pacific","Merulina","MESP",9.51,8.79,10.26
"indo-pacific","Millepora","MISP",13.5,12.07,14.95
"indo-pacific","Montipora","Monti",10.78,8.57,13.26
"indo-pacific","Montipora (branching)","MOBR",15.89,11.51,20.38
"indo-pacific","Montipora (encrusting)","MOEN",8.71,7.32,10.71
"indo-pacific","Montipora (foliose)","MOFO",7.73,6.87,8.7
"indo-pacific","Oulophyllia","OUSP",54.6,50.12,59.14
"indo-pacific","Pachyseris","PACS",9.59,8.87,10.33
"indo-pacific","Phymastrea","PHSP",1.73,1.56,1.89
"indo-pacific","Platygyra","PLSP",16.59,14.87,18.44
"indo-pacific","Plerogyra","PLER",7.78,7.25,8.29
"indo-pacific","Pocillopora","POCS",17.51,12.74,22.8
"indo-pacific","Porites","Porites",11.13,9.44,12.94
"indo-pacific","Porites (branching)","POBR",10.54,7.56,13.66
"indo-pacific","Porites (massive)","POMA",23.61,21.19,26.13
"indo-pacific","Psammocora","PSSP",8.6,6.95,10.75
"indo-pacific","Stylophora","STYS",10.78,7.75,13.97
"indo-pacific","Symphyllia","SYSP",29.99,27,32.93
"indo-pacific","Turbinaria (coral)","TURS",7.49,6.57,8.6
"indo-pacific","Turf on rubble","TURFR",0,0,0
